Group;Question Label;Topic Label;Year;Akse;Ordforklaring;Antpers;Farveskala;Gennemsnit;Score (Indekseret score) (gennemsnit) (label);Score (Indekseret score) (gennemsnit);Score (Indekseret score);Score
Mænd, 35 - 44 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";3564;29,016714535;;;;77,810989362;3,890549468
Mænd, 35 - 44 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";3567;22,432863706;;;;81,697763288;4,084888164
Mænd, 35 - 44 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";3573;25,859508671;;;;84,467695456;8,446769546
Mænd, 25 - 34 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";1926;37,927830287;;;;78,400874903;3,920043745
Mænd, 25 - 34 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";1920;46,463408622;;;;84,379550009;4,218977500
Mænd, 25 - 34 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";1930;-9,458750824;;;;82,990324574;8,299032457
Mænd, 18 - 24 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";617;48,727654495;;;;79,115786516;3,955789326
Mænd, 18 - 24 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";619;26,377798286;;;;82,138014360;4,106900718
Mænd, 18 - 24 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";619;-57,343465697;;;;80,987295986;8,098729599
Mænd;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";16645;27,680501327;;;;77,722536595;3,886126830
Mænd;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";16653;10,713711792;;;;80,389916707;4,019495835
Mænd;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";16682;4,303428569;;;;83,565999690;8,356599969
Kvinder, 55 - 64 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5651;-38,445777648;;;;73,345201937;3,667260097
Kvinder, 55 - 64 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5649;-53,536591378;;;;73,219641939;3,660982097
Kvinder, 55 - 64 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";5665;7,151516937;;;;83,685135878;8,368513588
Kvinder, 45 - 54 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";6464;-13,369693663;;;;75,005153369;3,750257668
Kvinder, 45 - 54 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";6467;-10,679824193;;;;78,002417758;3,900120888
Kvinder, 45 - 54 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";6475;32,341460807;;;;84,738836998;8,473883700
Kvinder, 35 - 44 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";4332;-28,626993810;;;;73,995172016;3,699758601
Kvinder, 35 - 44 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";4336;0,139448131;;;;79,209838604;3,960491930
Kvinder, 35 - 44 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";4340;9,521314120;;;;83,784265037;8,378426504
Kvinder, 25 - 34 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";2345;-51,272345505;;;;72,496126790;3,624806340
Kvinder, 25 - 34 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";2345;7,761901573;;;;80,060497401;4,003024870
Kvinder, 25 - 34 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";2352;-67,658539193;;;;80,555814100;8,055581410
Kvinder, 18 - 24 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";667;4,151003585;;;;76,164963909;3,808248195
Kvinder, 18 - 24 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";665;15,133961483;;;;80,883212509;4,044160625
Kvinder, 18 - 24 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";668;-48,274058805;;;;81,366671353;8,136667135
Kvinder;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";19459;-27,680501327;;;;74,057826598;3,702891330
Kvinder;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";19462;-10,713711792;;;;77,998635933;3,899931797
Kvinder;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";19500;-4,303428569;;;;83,205972885;8,320597288
Mænd, 55 - 64 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5090;34,617929280;;;;58,623715275;2,931185764
Mænd, 55 - 64 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5074;45,782321804;;;;61,037369723;3,051868486
Mænd, 55 - 64 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";4894;33,953752801;;;;55,246161724;2,762308086
Mænd, 45 - 54 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5425;20,009215398;;;;58,256283764;2,912814188
Mænd, 45 - 54 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5399;22,736912776;;;;60,035180876;3,001759044
Mænd, 45 - 54 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5175;-6,624371705;;;;54,519321743;2,725966087
Mænd, 35 - 44 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";3620;19,332881105;;;;58,239272921;2,911963646
Mænd, 35 - 44 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";3603;-19,052413851;;;;58,217864593;2,910893230
Mænd, 35 - 44 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";3380;-2,710970315;;;;54,589419034;2,729470952
Mænd, 25 - 34 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";2011;13,712582980;;;;58,097913822;2,904895691
Mænd, 25 - 34 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";1971;-20,751683012;;;;58,143967506;2,907198375
Mænd, 25 - 34 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";1837;-10,679599203;;;;54,446684047;2,722334202
Mænd, 18 - 24 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";636;-31,603700641;;;;56,958139937;2,847906997
Mænd, 18 - 24 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";628;17,319621880;;;;59,799596057;2,989979803
